connie-netbook, 172.24.22.12, 90:4c:e5:51:3a:fa
francis-laptop, 172.24.22.13, 60:33:4b:04:46:ce
l503pxlte, 172.24.22.14, 00:0a:95:a4:e3:48
l503pxltw, 172.24.22.15, 00:0a:95:f3:31:ad
l503ixlte, 172.24.22.16, 00:16:cb:9b:22:f2
l503ixltw, 172.24.22.17, 00:17:f2:50:ef:c5
l503x601, 172.24.22.18, 60:33:4b:04:31:d6
l503x603, 172.24.22.19, 10:9A:DD:B1:9C:08
l503x603wire, 172.24.22.20, 10:9A:DD:58:80:00
laynenetbook, 172.24.22.21, 1c:4b:d6:da:64:54
aplbas2k, 172.24.22.100, 00:d0:b7:79:db:a7
mcappwxp01, 172.24.22.101, 00:16:cf:14:56:b6
mcappwxp02, 172.24.22.102, 00:16:cf:14:5a:3f
mcappwxp03, 172.24.22.103, 00:16:cf:14:5d:74
mcappwxp04, 172.24.22.104, 00:16:cf:14:5f:20
mcappwxp05, 172.24.22.105, 00:16:cf:14:51:0f
mcappwxp06, 172.24.22.106, 00:16:cf:14:5d:7a
mcappwxp07, 172.24.22.107, 00:16:cf:14:5d:8c
mcappwxp08, 172.24.22.108, 00:16:cf:14:51:f9
mcappwxp09, 172.24.22.109, 00:16:cf:14:51:7f
mcappwxp10, 172.24.22.110, 00:16:cf:14:51:49
mcappwxp11, 172.24.22.111, 00:16:cf:14:58:8a
mcappwxp12, 172.24.22.112, 00:16:cf:14:52:74
mcappwxp13, 172.24.22.113, 00:16:cf:14:51:79
mcappwxp14, 172.24.22.114, 00:16:cf:14:56:ec
mcappwxp15, 172.24.22.115, 00:16:cf:14:51:23
mcappwxp16, 172.24.22.116, 00:16:cf:14:52:0b
mcappwxp17, 172.24.22.117, 00:16:cf:14:5a:47
mcappwxp18, 172.24.22.118, 00:16:cf:14:52:d3
mcappwxp19, 172.24.22.119, 00:16:cf:14:59:91
mcappwxp20, 172.24.22.120, 00:16:cf:14:56:e6
mcappwxp21, 172.24.22.21, 00:16:cf:14:52:be
mcappwxp22, 172.24.22.22, 00:16:cf:14:5e:fe
mcappwxp23, 172.24.22.23, 00:16:cf:14:51:e1
mcappwxp24, 172.24.22.24, 00:16:cf:14:52:de
mcappwxp25, 172.24.22.25, 00:16:cf:14:5a:67
mcappwxp26, 172.24.22.26, 00:16:cf:14:5a:69
mcappwxp27, 172.24.22.27, 00:16:cf:14:52:ba
mcappwxp28, 172.24.22.28, 00:16:cf:14:52:64
mcappwxp29, 172.24.22.29, 00:16:cf:14:52:c4
mcappwxp30, 172.24.22.30, 00:16:cf:14:51:5d
mcappwxp31, 172.24.22.31, 00:16:cf:14:52:62
mcappwxp32, 172.24.22.32, 00:16:cf:14:52:17
mcappwxp33, 172.24.22.33, 00:16:cf:14:51:0e
mcappwxp34, 172.24.22.34, 00:16:cf:14:51:31
mcappwxp35, 172.24.22.35, 00:16:cf:14:5a:63
mcappwxp36, 172.24.22.36, 00:16:cf:14:52:0f
mcappwxp37, 172.24.22.37, 00:16:cf:14:52:a2
mcappwxp38, 172.24.22.38, 00:16:cf:14:5a:6b
mcappwxp39, 172.24.22.39, 00:16:cf:14:51:71
mcappwxp40, 172.24.22.40, 00:16:cf:14:51:f1
b521w701, 172.24.22.41, 00:23:14:DC:43:F4
b521w702, 172.24.22.42, 00:23:14:DC:A7:88
b521w703, 172.24.22.43, 00:23:14:DC:A0:48
b521w704, 172.24.22.44, 00:23:14:DC:FA:FC
b521w705, 172.24.22.45, 00:23:14:D1:3D:8C
b521w706, 172.24.22.46, 00:23:14:DD:CE:FC
b521w707, 172.24.22.47, 00:23:14:DC:67:8C
b521w708, 172.24.22.48, 00:23:14:DC:A9:D4
b521w709, 172.24.22.49, 00:23:14:DC:95:7C
b521w710, 172.24.22.50, 00:23:14:D0:7C:80
b521w711, 172.24.22.51, 00:23:14:DC:A7:A4
b521w712, 172.24.22.52, 00:23:14:DC:E9:58
b521w713, 172.24.22.53, 00:23:14:DC:67:78
b521w714, 172.24.22.54, 00:23:14:DC:44:94
b521w715, 172.24.22.55, 00:23:14:DD:DB:68
b521w716, 172.24.22.56, 00:23:14:A4:5A:DC
b521w717, 172.24.22.57, 00:23:14:D0:49:E8
b521w718, 172.24.22.58, 00:23:14:DC:AC:38
b521w719, 172.24.22.59, 00:23:14:DC:D9:20
b521w720, 172.24.22.60, 00:23:14:DC:F0:AC
b521w721, 172.24.22.61, 00:23:14:D0:96:A0
b521w722, 172.24.22.62, 00:23:14:DC:45:84
b521w723, 172.24.22.63, 00:23:14:DC:44:A4
b521w724, 172.24.22.64, 00:23:14:DC:FA:00
b521rtr, 172.24.22.65, 00:13:46:c9:b5:25
b521w7xx, 172.24.22.66, 00:23:14:DC:E1:68
metc01, 172.24.22.81, 00:1c:10:e5:27:25
metc02, 172.24.22.82, 00:1c:10:e5:26:24
